method,policy,condition,folds,heldout_pair_f1,pooled_heldout_pair_f1,nominal_ci_low,nominal_ci_high,pooled_nominal_ci_low,pooled_nominal_ci_high,heldout_pair_micro_precision,heldout_pair_micro_recall,overall_pair_micro_f1,seen_pair_micro_f1,heldout_presence_f1,heldout_presence_ap,oracle_stage2_f1,two_sentiment_instances,selected_review_aspects
composition,label_masked_all_reviews,D,12,0.5003885663634654,0.5499877780493767,0.4687908538493231,0.5273122816028846,0.5319779011152882,0.5678484230114653,0.48267863951216916,0.6172440928641221,0.5720828782275551,0.5728721779675031,0.5571065133948178,0.4854393629332467,0.8866869697547478,24,25971
composition,label_masked_all_reviews,N,12,0.4617191533300619,0.5353239136230339,0.4272983701015978,0.4909043852434214,0.515360010381073,0.5546038543897216,0.6022309237668266,0.5232633460625521,0.5711828788266053,0.5728721779675031,0.5067275754318897,0.534454349033616,0.8837504311773179,24,25631
composition,review_filtered,D,12,0.5260551810217329,0.5782957028404953,0.49313509542513734,0.5539499979653959,0.5600396076736075,0.5958462928418788,0.506962626919511,0.620510186565745,0.5841238414327246,0.5839621941831109,0.5853555209195364,0.5054816165998786,0.8857092644635024,300,26594
composition,review_filtered,N,12,0.5137401499087139,0.5629506378258459,0.47724460941015123,0.5441471359685673,0.5427777777777778,0.5826473269257353,0.5950098556734466,0.530059343415942,0.583058471447074,0.5839621941831109,0.561978436889096,0.5816516763748344,0.8880610497483795,296,26085
fewshot,label_masked_all_reviews,D,12,0.4729572361396561,0.516301703163017,0.44046736268865905,0.501750968651878,0.4973312627949155,0.5348383734219244,0.45839886049926903,0.5831083116933172,0.5306170244650922,0.5304013459006471,0.5571065133948178,0.4854393629332467,0.7603894151583334,467,25971
fewshot,label_masked_all_reviews,N,12,0.4580359923032626,0.534784917684546,0.4225284164372282,0.4884546518803306,0.5152086137281292,0.5536370642006803,0.599318632141465,0.5179712971014271,0.5322714652508654,0.5304013459006471,0.5067275754318897,0.534454349033616,0.8280075868784246,463,25631
fewshot,review_filtered,D,12,0.5051521700061079,0.5648484848484848,0.4704139928005373,0.5356244909074042,0.5463460692129837,0.5827719766429812,0.4823462325007904,0.5966677455687436,0.5462845263589494,0.5432688102323538,0.5853555209195364,0.5054816165998786,0.7658015813371413,496,26594
fewshot,review_filtered,N,12,0.5020626409293483,0.5593126385809313,0.4622710614857968,0.5357594046433749,0.5395938826064344,0.5783605946177607,0.5901886976026125,0.5140361660699146,0.5455872367510016,0.5432688102323538,0.561978436889096,0.5816516763748344,0.8298639044931396,488,26085
qlora,label_masked_all_reviews,D,12,0.4722245830471346,0.5065893516078018,0.4456950037310858,0.4959007779860141,0.48779133390325863,0.5253106914178858,0.449379479384816,0.6045125137935071,0.5852803435268653,0.5924539416357527,0.5079417103560596,0.5830314114537442,0.8866869697547478,19,25954
qlora,label_masked_all_reviews,N,12,0.4358999748602072,0.45238890745071836,0.4029976763870084,0.46348986028869826,0.43037974683544306,0.4737191986645114,0.4924358748095465,0.456230123395781,0.5828714647627503,0.5924539416357527,0.456906425125953,0.5328923918107648,0.8837504311773179,19,25153
qlora,review_filtered,D,12,0.48007892118450357,0.5190958690568979,0.45318061862186343,0.504232847605899,0.5005229988894864,0.5378789348096951,0.45316930980223386,0.6166145227881201,0.5868582006286317,0.5931682548347936,0.5153300154923681,0.5836495193062952,0.8857092644635024,164,26024
qlora,review_filtered,N,12,0.44146834077751723,0.46612111292962355,0.4089734896051516,0.4689218927135816,0.44482758620689655,0.4871880065519766,0.4956146202694014,0.46994374163161673,0.5842425589328396,0.5931682548347936,0.4630941908246293,0.5328936797525555,0.8880610497483795,158,25236
