comparison,estimate,nominal_ci_low,nominal_ci_high,draws,seed,role,evidence_role
fewshot_N_masked_minus_filtered,-0.044026648626085685,-0.061659978457216234,-0.023502169815701572,20000,13,descriptive_fewshot_reference,post_test_validation_only_training_policy_sensitivity
qlora_N_masked_minus_filtered,-0.005568365917310025,-0.012666676463612483,0.0007113129459661918,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
composition_N_masked_minus_filtered,-0.052020996578651946,-0.068039584936929,-0.036780657004164156,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
review_filtered_N_composition_minus_fewshot,0.011677508979365592,-0.006100102453737305,0.0322502732986275,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
review_filtered_N_composition_minus_qlora,0.07227180913119663,0.038064524943460985,0.10504291647663709,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
label_masked_all_reviews_N_composition_minus_fewshot,0.003683161026799331,-0.013232367764803073,0.02192106669592367,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
label_masked_all_reviews_N_composition_minus_qlora,0.02581917846985471,-0.00965935061581213,0.060742031205421244,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
N_change_in_composition_gain_over_fewshot,-0.00799434795256626,-0.026072955048799636,0.005602523908624781,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
N_change_in_composition_gain_over_qlora,-0.04645263066134192,-0.061210442571215724,-0.03166913021973033,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
fewshot_D_masked_minus_filtered,-0.03219493386645178,-0.050659033469634226,-0.012731788876886274,20000,13,descriptive_fewshot_reference,post_test_validation_only_training_policy_sensitivity
qlora_D_masked_minus_filtered,-0.007854338137368966,-0.013926944294286744,-0.002051737305915996,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
composition_D_masked_minus_filtered,-0.025666614658267473,-0.03571683267470589,-0.015927680289529546,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
review_filtered_D_composition_minus_fewshot,0.020903011015624973,0.0006434680400903865,0.042571669487446194,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
review_filtered_D_composition_minus_qlora,0.045976259837229305,0.021537648948301468,0.06976590886454224,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
label_masked_all_reviews_D_composition_minus_fewshot,0.02743133022380928,0.006981230594796376,0.04927563942600043,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
label_masked_all_reviews_D_composition_minus_qlora,0.0281639833163308,0.002168792229523256,0.05331891446093293,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
D_change_in_composition_gain_over_fewshot,0.006528319208184308,-0.011361933718252766,0.02417013603867245,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
D_change_in_composition_gain_over_qlora,-0.017812276520898507,-0.02858524931786962,-0.007202497871424178,20000,13,registered_policy_comparison,post_test_validation_only_training_policy_sensitivity
