heldout_aspect,strict_local_pair_micro_f1,frozen_qwen_pair_micro_f1,selected_router_pair_micro_f1,router_minus_strict_local,router_qwen_call_rate
Account management: Account access,0.3218390804597701,0.29201101928374656,0.3218390804597701,0.0,0.0
Company brand: Competitor,0.17582417582417584,0.19205298013245034,0.17582417582417584,0.0,0.0
Company brand: General satisfaction,0.501153668666359,0.5501577287066246,0.501153668666359,0.0,0.0
Company brand: Reviews,0.5797101449275363,0.08084358523725835,0.5797101449275363,0.0,0.0
Logistics rides: Speed,0.19481981981981983,0.5233333333333333,0.19481981981981983,0.0,0.0
Online experience: App website,0.6926898509581263,0.4280973451327434,0.6926898509581263,0.0,0.0
Purchase booking experience: Ease of use,0.5696969696969697,0.4329896907216495,0.5696969696969697,0.0,0.0
Staff support: Attitude of staff,0.30566037735849055,0.49355432780847147,0.30566037735849055,0.0,0.0
Staff support: Email,0.36666666666666664,0.23529411764705882,0.36666666666666664,0.0,0.0
Staff support: Phone,0.2753623188405797,0.21548821548821548,0.2753623188405797,0.0,0.0
Value: Discounts promotions,0.21568627450980393,0.21224489795918366,0.21568627450980393,0.0,0.0
Value: Price value for money,0.42857142857142855,0.3975757575757576,0.42857142857142855,0.0,0.0
