method_id,method,condition,fold_count,heldout_pair_micro_f1_mean,overall_pair_micro_f1_mean,seen_pair_micro_f1_mean,heldout_presence_f1_mean,heldout_presence_average_precision_mean,oracle_gated_sentiment_set_micro_f1_mean
description_conditioned_weight_transfer_kernel_ridge,Description-to-weight transfer,D,12,0.1453139352158224,0.21521450302315667,0.21964980486693608,0.23681969421798033,0.2201195921637804,0.636682414469957
description_conditioned_weight_transfer_kernel_ridge,Description-to-weight transfer,N,12,0.1443289953765545,0.21493165029494263,0.21964980486693608,0.23284913598976342,0.2126791032726534,0.6180198118122651
distilbert_review_candidate_cross_encoder,DistilBERT,D,12,0.10542700174981316,0.4999478588097103,0.5227771752501785,0.1269232095645337,0.23806770096265442,0.8690231065706847
distilbert_review_candidate_cross_encoder,DistilBERT,N,12,0.10572129662734919,0.4969184509672047,0.5227771752501785,0.12169712962292101,0.20986552327327815,0.8760627221711337
e5_base_v2,Frozen E5,D,12,0.22218351851636312,0.32626695120744775,0.3270807329045676,0.2905521635241919,0.35232590281531606,0.7647102047912276
e5_base_v2,Frozen E5,N,12,0.24147326429624685,0.3280722563262148,0.3270807329045676,0.30120986436285474,0.34528324828252077,0.7546227729965432
frozen_qwen_candidate_pair,Frozen Qwen zero-shot,D,12,0.45129836541827323,0.499431947284708,0.4991497795709061,0.4971014065463579,0.39003824926491615,0.8678081932036902
frozen_qwen_candidate_pair,Frozen Qwen zero-shot,N,12,0.43585980561420007,0.49810299830883076,0.4991497795709061,0.4599185457962025,0.4437719685507207,0.8609925026811442
frozen_qwen_few_shot,Frozen Qwen few-shot,D,12,0.5048826238901596,0.5462452976198877,0.5432483512143501,0.5853555209195362,0.5058700113953779,0.7656990685616244
frozen_qwen_few_shot,Frozen Qwen few-shot,N,12,0.5018514986496149,0.5455584669547169,0.5432483512143501,0.5617547266165214,0.5816516763748344,0.8298639044931395
qwen_candidate_pair_qlora,QLoRA Qwen,D,12,0.47990323009308455,0.5867705101163012,0.5930520079890415,0.5152419423874747,0.5833540353050181,0.8853688022062459
qwen_candidate_pair_qlora,QLoRA Qwen,N,12,0.44196442839376204,0.5842151488793857,0.5930520079890415,0.46387744606343934,0.5338931476766898,0.8877592529349546
strict_train_only_tfidf,TF-IDF,D,12,0.2772507342595331,0.3346295188747736,0.333619796529544,0.41102846505997565,0.5013343913047422,0.636809141808479
strict_train_only_tfidf,TF-IDF,N,12,0.21076178788714608,0.33166411541183477,0.333619796529544,0.3377452272128707,0.41484492245598026,0.6187637682848207
