method,condition,contrast,estimate,nominal_ci_low,nominal_ci_high,evidence_role
dcwt_cosine_barycentric_weight,D,masked_minus_filtered,-0.016516113419398654,-0.020368412646147516,-0.012722252218703049,posthoc_validation_sensitivity
dcwt_cosine_barycentric_weight,N,masked_minus_filtered,-0.015310510031808583,-0.019034959710126628,-0.011641061612743699,posthoc_validation_sensitivity
dcwt_kernel_ridge,D,masked_minus_filtered,-0.011418828301897554,-0.016503789828816312,-0.006328155136496045,posthoc_validation_sensitivity
dcwt_kernel_ridge,N,masked_minus_filtered,-0.008006793941569723,-0.013011179963925243,-0.0029965948032539907,posthoc_validation_sensitivity
dcwt_mean_seen_weight,D,masked_minus_filtered,-0.02192336620046377,-0.02586623996468862,-0.018102319493516674,posthoc_validation_sensitivity
dcwt_mean_seen_weight,N,masked_minus_filtered,-0.021622537494951674,-0.025580264903258536,-0.017707410582253943,posthoc_validation_sensitivity
dcwt_nearest_description_weight,D,masked_minus_filtered,-0.00036441232103906485,-0.004857356431151932,0.003972485679256853,posthoc_validation_sensitivity
dcwt_nearest_description_weight,N,masked_minus_filtered,-0.005467310673552911,-0.009834058384094914,-0.0011225713364313365,posthoc_validation_sensitivity
distilbert,D,masked_minus_filtered,-0.006154943533928231,-0.02555189635018231,0.012755016793617952,posthoc_validation_sensitivity
distilbert,N,masked_minus_filtered,0.0021272228231227486,-0.012621548130617314,0.01677637426309059,posthoc_validation_sensitivity
e5_base_v2,D,masked_minus_filtered,0.0,0.0,0.0,structural_invariance
e5_base_v2,N,masked_minus_filtered,0.0,0.0,0.0,structural_invariance
fewshot,D,masked_minus_filtered,-0.03219493386645178,-0.050659033469634226,-0.012731788876886274,posthoc_validation_sensitivity
fewshot,N,masked_minus_filtered,-0.044026648626085685,-0.061659978457216234,-0.023502169815701572,posthoc_validation_sensitivity
frozen_qwen_candidate_pair,D,masked_minus_filtered,0.0,0.0,0.0,structural_invariance
frozen_qwen_candidate_pair,N,masked_minus_filtered,0.0,0.0,0.0,structural_invariance
mixed_component_diagnostic,D,masked_minus_filtered,-0.025441392167626087,-0.03479587393716094,-0.016166135768354104,posthoc_validation_sensitivity
mixed_component_diagnostic,N,masked_minus_filtered,-0.050655187595378515,-0.06420421041970702,-0.036774977293744265,posthoc_validation_sensitivity
tfidf,D,masked_minus_filtered,-0.029065615028031316,-0.03634831885133962,-0.022349528834943663,posthoc_validation_sensitivity
tfidf,N,masked_minus_filtered,-0.0051610697738614375,-0.009676333649145274,-0.001438637126739563,posthoc_validation_sensitivity
