method,policy,condition,folds,heldout_pair_f1,pooled_heldout_pair_f1,nominal_ci_low,nominal_ci_high,overall_pair_f1,seen_pair_f1,heldout_presence_f1,heldout_presence_ap,oracle_stage2_f1,two_sentiment_instances,selected_review_aspects
distilbert,label_masked_all_reviews,D,12,0.1060924147752746,0.08416038110361254,0.0753131099052629,0.1356351496402974,0.4782270229808208,0.5003665663936614,0.11539768415687013,0.23281931851551788,0.8862436437799203,48,30402
distilbert,label_masked_all_reviews,N,12,0.1108806020485106,0.10792767732962448,0.08885433305068503,0.13192960362715977,0.4724347959148219,0.5003665663936614,0.12145407137578416,0.20778931839135603,0.8891533009064068,49,31477
distilbert,review_filtered,D,12,0.11224735830920284,0.08939455505891913,0.08220199272774806,0.1397972338058893,0.49667965762929317,0.5186070969397664,0.12235792371424037,0.24195149501990768,0.8812436602170347,66,27311
distilbert,review_filtered,N,12,0.10875337922538784,0.11033099297893681,0.08813059485300737,0.12919354472888978,0.49380541412898254,0.5186070969397664,0.12047637925874044,0.2069637764657132,0.8872414021922572,66,27841
fewshot,label_masked_all_reviews,D,12,0.4729572361396561,0.516301703163017,0.44046736268865905,0.501750968651878,0.5306170244650922,0.5304013459006471,0.5571065133948178,0.4854393629332467,0.7603894151583334,467,25971
fewshot,label_masked_all_reviews,N,12,0.4580359923032626,0.534784917684546,0.4225284164372282,0.4884546518803306,0.5322714652508654,0.5304013459006471,0.5067275754318897,0.534454349033616,0.8280075868784246,463,25631
fewshot,review_filtered,D,12,0.5051521700061079,0.5648484848484848,0.4704139928005373,0.5356244909074042,0.5462845263589494,0.5432688102323538,0.5853555209195364,0.5054816165998786,0.7658015813371413,496,26594
fewshot,review_filtered,N,12,0.5020626409293483,0.5593126385809313,0.4622710614857968,0.5357594046433749,0.5455872367510016,0.5432688102323538,0.561978436889096,0.5816516763748344,0.8298639044931396,488,26085
mixed_component_diagnostic,label_masked_all_reviews,D,12,0.5004895510589756,0.5494398441305407,0.4690107507997736,0.5275692641431594,0.5729264059017799,0.5738143643633985,0.5571065133948178,0.4854393629332467,0.885368802206246,250,25971
mixed_component_diagnostic,label_masked_all_reviews,N,12,0.46378505642062556,0.5340063761955367,0.4296465263602651,0.4922523955118622,0.5719576804461485,0.5738143643633985,0.5067275754318897,0.534454349033616,0.8877592529349547,248,25631
mixed_component_diagnostic,review_filtered,D,12,0.5259309432266017,0.578500363989323,0.4930516870203966,0.5537655072733961,0.5840510825943154,0.5838692089850893,0.5853555209195364,0.5054816165998786,0.885368802206246,303,26594
mixed_component_diagnostic,review_filtered,N,12,0.5144402440160041,0.5629506378258459,0.4778188477642862,0.5447542371247079,0.582966818381347,0.5838692089850893,0.561978436889096,0.5816516763748344,0.8877592529349547,297,26085
tfidf,label_masked_all_reviews,D,12,0.2481851192315018,0.28299243485570186,0.22479766620842312,0.2706855102744577,0.3317647810620215,0.3353273115231173,0.36540527475673557,0.47624299954642435,0.6374142948479096,433,24426
tfidf,label_masked_all_reviews,N,12,0.20560071811328465,0.28661971830985916,0.17835704073614045,0.2319161060222223,0.33275915850701127,0.3353273115231173,0.3321882341190755,0.4013240868707615,0.6184232962892459,417,23713
tfidf,review_filtered,D,12,0.2772507342595331,0.33941605839416056,0.25331181121086527,0.30027173120038847,0.3346295188747735,0.333619796529544,0.41102846505997565,0.5013343913047422,0.6368091418084791,589,24936
tfidf,review_filtered,N,12,0.21076178788714608,0.29399441340782123,0.18341163058484056,0.23742700012633117,0.33166411541183477,0.333619796529544,0.3377452272128707,0.4148449224559802,0.6187637682848208,568,23985
tfidf,size_matched_label_masked_s13,D,12,0.252315739823794,0.2903851482405098,0.22871959106339115,0.2750233409353088,0.33282543423796024,0.3358557935417908,0.3720964481465671,0.47829413842537144,0.6371743927420523,434,24243
tfidf,size_matched_label_masked_s13,N,12,0.20570521201927108,0.288231148696265,0.17813736448533776,0.23225453925285863,0.3334204656440207,0.3358557935417908,0.33273510237405074,0.40170534528031626,0.6191771482186222,416,23490
tfidf,size_matched_label_masked_s29,D,12,0.25418576698857875,0.29497390826695963,0.23054865097427502,0.27687455746317036,0.3330670059076784,0.3358606069232477,0.3745056219228442,0.4763018683498526,0.6370235590430615,418,24541
tfidf,size_matched_label_masked_s29,N,12,0.20698485221431953,0.28792134831460675,0.17937428671100325,0.23341600846610824,0.33320825308546165,0.3358606069232477,0.33129418624775425,0.4013900764428342,0.626462841574902,400,23766
tfidf,size_matched_label_masked_s47,D,12,0.25377516025106367,0.2933918289004661,0.2303126598122676,0.27626777142314063,0.3330215160509019,0.33580893915182414,0.3719275049175492,0.47572190677216236,0.637595829098112,414,24673
tfidf,size_matched_label_masked_s47,N,12,0.20388113939453242,0.28702075272599364,0.17652449991525967,0.2300673557275011,0.333248879136312,0.33580893915182414,0.33149929697110175,0.4013988563998145,0.6189281985034464,399,23884
