method,policy,fold_id,condition,aspect_threshold,runner_up_threshold,heldout_presence_f1,heldout_presence_ap,oracle_stage2_f1,selected_review_aspects,two_sentiment_instances,heldout_pair_micro_f1,heldout_pair_micro_precision,heldout_pair_micro_recall,overall_pair_micro_f1,overall_pair_micro_precision,overall_pair_micro_recall,seen_pair_micro_f1,seen_pair_micro_precision,seen_pair_micro_recall,selected_learning_rate
tfidf,review_filtered,l2-a01,D,0.586968601391,0.35244339578,0.5087719298245614,0.4218787842579255,0.43529411764705883,2075,185,0.23728813559322035,0.18064516129032257,0.345679012345679,0.30985915492957744,0.28230088495575223,0.3433799784714747,0.31427099433281813,0.28978622327790976,0.34327518289251546,
tfidf,review_filtered,l2-a01,N,0.586968601391,0.35244339578,0.36129032258064514,0.26365157272263884,0.44339622641509435,2002,181,0.1761006289308176,0.1794871794871795,0.1728395061728395,0.3088344469190794,0.2858451672010994,0.33584499461786865,0.31427099433281813,0.28978622327790976,0.34327518289251546,
tfidf,review_filtered,l2-a02,D,0.571938326188,0.900396467719,0.21390374331550802,0.1829992238157141,0.7861271676300579,2136,7,0.18181818181818182,0.16831683168316833,0.19767441860465115,0.3359160209947513,0.3135790947270182,0.36167922497308935,0.3434714210802307,0.3207639569049951,0.3696388261851016,
tfidf,review_filtered,l2-a02,N,0.571938326188,0.900396467719,0.125,0.1767714305270695,0.5433526011560693,2061,7,0.08928571428571429,0.19230769230769232,0.05813953488372093,0.33622007131940906,0.3191489361702128,0.35522066738428415,0.3434714210802307,0.3207639569049951,0.3696388261851016,
tfidf,review_filtered,l2-a03,D,0.633461757211,0.96,0.2743055555555556,0.4161873942306514,0.6184538653366584,1758,3,0.1736111111111111,0.2857142857142857,0.12468827930174564,0.32716219950262504,0.33617262918796137,0.3186221743810549,0.35622740716398293,0.3417402269861286,0.37199725463280714,
tfidf,review_filtered,l2-a03,N,0.633461757211,0.96,0.10526315789473684,0.4034998298531877,0.6184538653366584,1619,3,0.06407322654462243,0.3888888888888889,0.034912718204488775,0.3195402298850575,0.34278668310727495,0.2992465016146394,0.35622740716398293,0.3417402269861286,0.37199725463280714,
tfidf,review_filtered,l2-a04,D,0.564465016701,0.91,0.3434343434343434,0.6667700223670308,0.6363636363636364,2193,6,0.18181818181818182,0.11688311688311688,0.4090909090909091,0.3371949716539315,0.31105047748976805,0.3681377825618945,0.3410813542193027,0.3180961357210179,0.36764705882352944,
tfidf,review_filtered,l2-a04,N,0.564465016701,0.91,0.53125,0.6938685660326183,0.6363636363636364,2158,6,0.28125,0.21428571428571427,0.4090909090909091,0.34012928891098954,0.31608133086876156,0.3681377825618945,0.3410813542193027,0.3180961357210179,0.36764705882352944,
tfidf,review_filtered,l2-a05,D,0.564875427074,0.670279010584,0.4549019607843137,0.4062459272729378,0.7899159663865546,2101,43,0.3861003861003861,0.3546099290780142,0.423728813559322,0.33883058470764615,0.3162313432835821,0.36490850376749195,0.3355597114613946,0.3135297054418372,0.36091954022988504,
tfidf,review_filtered,l2-a05,N,0.564875427074,0.670279010584,0.061068702290076333,0.17019577679668227,0.7899159663865546,1977,39,0.04580152671755725,0.23076923076923078,0.025423728813559324,0.32576148683531236,0.31299603174603174,0.3396124865446717,0.3355597114613946,0.3135297054418372,0.36091954022988504,
tfidf,review_filtered,l2-a06,D,0.64652170784,0.871120635737,0.7536585365853659,0.840430459657579,0.6181434599156118,1971,13,0.4867469879518072,0.5722379603399433,0.42348008385744235,0.33784487246225925,0.32711693548387094,0.34930032292787944,0.2968127490039841,0.27406499080318825,0.3236784938450398,
tfidf,review_filtered,l2-a06,N,0.64652170784,0.871120635737,0.7448979591836735,0.8512262348102027,0.6413502109704642,1935,13,0.47858942065491183,0.5993690851735016,0.39832285115303984,0.3347346295323174,0.32700205338809035,0.3428417653390743,0.2968127490039841,0.27406499080318825,0.3236784938450398,
tfidf,review_filtered,l2-a07,D,0.612628446647,0.383807362968,0.617816091954023,0.6327413447214341,0.7547169811320755,1869,251,0.48956884561891517,0.4607329842931937,0.5222551928783383,0.34338863750628457,0.32216981132075473,0.36759956942949407,0.3111383860079779,0.29171461449942465,0.3333333333333333,
tfidf,review_filtered,l2-a07,N,0.612628446647,0.383807362968,0.5043177892918825,0.5952411627619782,0.7496382054992764,1752,245,0.4161073825503356,0.47876447876447875,0.36795252225519287,0.32736705577172504,0.3159739609414121,0.3396124865446717,0.3111383860079779,0.29171461449942465,0.3333333333333333,
tfidf,review_filtered,l2-a08,D,0.587115952326,0.910090307194,0.44559585492227977,0.4791105017995437,0.6666666666666666,2184,9,0.32989690721649484,0.47058823529411764,0.25396825396825395,0.33275734386571215,0.3073415412676699,0.3627556512378902,0.3329012185636505,0.30211764705882355,0.37066974595842955,
tfidf,review_filtered,l2-a08,N,0.587115952326,0.910090307194,0.1793103448275862,0.2903851956792412,0.6666666666666666,2136,9,0.1232876712328767,0.45,0.07142857142857142,0.3252560579565326,0.3034965034965035,0.3503767491926803,0.3329012185636505,0.30211764705882355,0.37066974595842955,
