comparison,estimate,nominal_ci_low,nominal_ci_high,draws,seed,evidence_role
tfidf_D_masked_minus_filtered,-0.029065615028031316,-0.03634831885133962,-0.022349528834943663,20000,13,posthoc_validation_sensitivity
tfidf_N_masked_minus_filtered,-0.0051610697738614375,-0.009676333649145274,-0.001438637126739563,20000,13,posthoc_validation_sensitivity
tfidf_review_filtered_D_minus_N,0.06648894637238703,0.04546899077122284,0.08788422078291479,20000,13,posthoc_validation_sensitivity
tfidf_label_masked_all_reviews_D_minus_N,0.04258440111821715,0.022064717353609212,0.06389585733190611,20000,13,posthoc_validation_sensitivity
tfidf_change_in_D_minus_N,-0.02390454525416988,-0.032089067665581596,-0.015952329421529462,20000,13,posthoc_validation_sensitivity
distilbert_D_masked_minus_filtered,-0.006154943533928231,-0.02555189635018231,0.012755016793617952,20000,13,posthoc_validation_sensitivity
distilbert_N_masked_minus_filtered,0.0021272228231227486,-0.012621548130617314,0.01677637426309059,20000,13,posthoc_validation_sensitivity
distilbert_review_filtered_D_minus_N,0.003493979083814991,-0.012772680371323456,0.018035531622241748,20000,13,posthoc_validation_sensitivity
distilbert_label_masked_all_reviews_D_minus_N,-0.004788187273235989,-0.025922320757250896,0.01596155394209685,20000,13,posthoc_validation_sensitivity
distilbert_change_in_D_minus_N,-0.00828216635705098,-0.03101893648787651,0.013096952371726284,20000,13,posthoc_validation_sensitivity
fewshot_D_masked_minus_filtered,-0.03219493386645178,-0.050659033469634226,-0.012731788876886274,20000,13,posthoc_validation_sensitivity
fewshot_N_masked_minus_filtered,-0.044026648626085685,-0.061659978457216234,-0.023502169815701572,20000,13,posthoc_validation_sensitivity
fewshot_review_filtered_D_minus_N,0.003089529076759634,-0.02301057593986704,0.030787681346694063,20000,13,posthoc_validation_sensitivity
fewshot_label_masked_all_reviews_D_minus_N,0.014921243836393538,-0.009696958452126212,0.039753857352274886,20000,13,posthoc_validation_sensitivity
fewshot_change_in_D_minus_N,0.011831714759633905,-0.005201831755921816,0.02798188808143813,20000,13,posthoc_validation_sensitivity
mixed_component_diagnostic_D_masked_minus_filtered,-0.025441392167626087,-0.03479587393716094,-0.016166135768354104,20000,13,posthoc_validation_sensitivity
mixed_component_diagnostic_N_masked_minus_filtered,-0.050655187595378515,-0.06420421041970702,-0.036774977293744265,20000,13,posthoc_validation_sensitivity
mixed_component_diagnostic_review_filtered_D_minus_N,0.011490699210597644,-0.015102289799207178,0.03992980527068082,20000,13,posthoc_validation_sensitivity
mixed_component_diagnostic_label_masked_all_reviews_D_minus_N,0.03670449463835007,0.011202899489618915,0.06335361647670155,20000,13,posthoc_validation_sensitivity
mixed_component_diagnostic_change_in_D_minus_N,0.025213795427752428,0.011012278538852277,0.039605694014599256,20000,13,posthoc_validation_sensitivity
tfidf_D_size_s13_minus_filtered,-0.0249349944357391,-0.03235063003388068,-0.01814374943159288,20000,13,posthoc_validation_sensitivity
tfidf_D_full_masked_minus_size_s13,-0.004130620592292217,-0.007256297342914469,-0.0007981257106599421,20000,13,posthoc_validation_sensitivity
tfidf_N_size_s13_minus_filtered,-0.005056575867875002,-0.011139227819621742,-9.721987700794837e-05,20000,13,posthoc_validation_sensitivity
tfidf_N_full_masked_minus_size_s13,-0.00010449390598643582,-0.0033341299754627942,0.004457423831919897,20000,13,posthoc_validation_sensitivity
tfidf_D_size_s29_minus_filtered,-0.023064967270954362,-0.03149905837906924,-0.015161458955736942,20000,13,posthoc_validation_sensitivity
tfidf_D_full_masked_minus_size_s29,-0.0060006477570769545,-0.011781660333422391,-0.0003129016000188899,20000,13,posthoc_validation_sensitivity
tfidf_N_size_s29_minus_filtered,-0.0037769356728265535,-0.01099954574017135,0.0030311879274182553,20000,13,posthoc_validation_sensitivity
tfidf_N_full_masked_minus_size_s29,-0.001384134101034884,-0.0069380689956423745,0.004578330232834383,20000,13,posthoc_validation_sensitivity
tfidf_D_size_s47_minus_filtered,-0.023475574008469446,-0.03075206305088794,-0.016723801743400494,20000,13,posthoc_validation_sensitivity
tfidf_D_full_masked_minus_size_s47,-0.00559004101956187,-0.010482208109439811,-0.000625984372323023,20000,13,posthoc_validation_sensitivity
tfidf_N_size_s47_minus_filtered,-0.006880648492613661,-0.013055781836439951,-0.001889257141857483,20000,13,posthoc_validation_sensitivity
tfidf_N_full_masked_minus_size_s47,0.0017195787187522238,-0.0013794939595139603,0.006304469612728228,20000,13,posthoc_validation_sensitivity
