fold_id,block_id,selected_threshold,selection_pair_micro_f1,selection_presence_f1,selection_aspect_call_rate,training_aspect_instances,evaluation_aspect_instances,training_review_count,evaluation_review_count,train_evaluation_review_overlap_count,heldout_aspect_selection_instance_count
l2-a01,0,1.0,0.6022554099359951,0.6451016635859519,0.19593582887700534,9350,2484,850,207,0,0
l2-a01,1,1.0,0.6017699115044248,0.6399506781750924,0.19456044544383766,9339,2496,849,208,0,0
l2-a01,2,1.0,0.6034321372854914,0.6443883984867591,0.19271001833279414,9273,2568,843,214,0,0
l2-a01,3,1.0,0.5932255111382362,0.6362796427471512,0.19396781413194075,9383,2448,853,204,0,0
l2-a01,4,1.0,0.6060419235511714,0.6477732793522267,0.19687875150060025,9163,2688,833,224,0,0
l2-a01,all_validation_fit,1.0,0.6013264554163597,0.6426799007444168,0.19480519480519481,11627,12684,1057,1057,1057,0
l2-a02,0,1.0,0.6090133982947625,0.6499541424640782,0.19850267379679146,9350,2484,850,207,0,0
l2-a02,1,1.0,0.6075105996365839,0.6455927051671733,0.19980725987793124,9339,2496,849,208,0,0
l2-a02,2,1.0,0.6103896103896104,0.6503105590062112,0.19767065674538983,9273,2568,843,214,0,0
l2-a02,3,1.0,0.6024464831804281,0.6463901689708141,0.19599275285090056,9383,2448,853,204,0,0
l2-a02,4,1.0,0.6097859327217126,0.6535626535626535,0.2027720178980683,9163,2688,833,224,0,0
l2-a02,all_validation_fit,1.0,0.6078239608801956,0.6491529585072429,0.1989335168143115,11627,12684,1057,1057,1057,0
l2-a03,0,1.0,0.6145251396648045,0.6609345794392524,0.1623529411764706,9350,2484,850,207,0,0
l2-a03,1,1.0,0.6082511865644395,0.6505494505494506,0.16714851697183852,9339,2496,849,208,0,0
l2-a03,2,1.0,0.6095166163141994,0.6532777567260326,0.1621913080987814,9273,2568,843,214,0,0
l2-a03,3,1.0,0.6081481481481481,0.6552621792487914,0.16252797612703826,9383,2448,853,204,0,0
l2-a03,4,1.0,0.6134328358208955,0.6596780232122801,0.16544799738077048,9163,2688,833,224,0,0
l2-a03,all_validation_fit,1.0,0.6107641986321737,0.6559236048940614,0.16392878644534273,11627,12684,1057,1057,1057,0
l2-a04,0,1.0,0.5970149253731343,0.6514140451223387,0.1802139037433155,9350,2484,850,207,0,0
l2-a04,1,0.99,0.6012235817575083,0.653038046564452,0.21865296070243068,9339,2496,849,208,0,0
l2-a04,2,0.99,0.597819850831899,0.6489019033674963,0.21363097163808908,9273,2568,843,214,0,0
l2-a04,3,0.99,0.5928831605491734,0.6504297994269341,0.2151763828199936,9383,2448,853,204,0,0
l2-a04,4,0.99,0.5972850678733032,0.6529667149059334,0.2189239332096475,9163,2688,833,224,0,0
l2-a04,all_validation_fit,0.99,0.5967996393959882,0.6511520737327189,0.21639287864453427,11627,12684,1057,1057,1057,0
l2-a05,0,1.0,0.595118898623279,0.6415568110483365,0.193048128342246,9350,2484,850,207,0,0
l2-a05,1,1.0,0.5952824332712601,0.6355431061313415,0.1934896669879002,9339,2496,849,208,0,0
l2-a05,2,1.0,0.5975918884664132,0.6418811566571337,0.19260217836730292,9273,2568,843,214,0,0
l2-a05,3,1.0,0.5864755375506389,0.6335209505941213,0.1918362996909304,9383,2448,853,204,0,0
l2-a05,4,1.0,0.5960139196456817,0.6408629441624365,0.19491432936811087,9163,2688,833,224,0,0
l2-a05,all_validation_fit,1.0,0.594079277471149,0.6386512330145949,0.19317106734325276,11627,12684,1057,1057,1057,0
l2-a06,0,1.0,0.578001437814522,0.6088521050737675,0.17925133689839573,9350,2484,850,207,0,0
l2-a06,1,1.0,0.5773342836778332,0.6055634807417974,0.1798907805974944,9339,2496,849,208,0,0
l2-a06,2,1.0,0.5817378497790869,0.6109064112011791,0.1766418634746037,9273,2568,843,214,0,0
l2-a06,3,1.0,0.5679455001792757,0.6008614501076812,0.17894063732281787,9383,2448,853,204,0,0
l2-a06,4,1.0,0.5840260209613299,0.6126582278481013,0.1814907781294336,9163,2688,833,224,0,0
l2-a06,all_validation_fit,1.0,0.5777777777777777,0.6077411900635471,0.17923798056248388,11627,12684,1057,1057,1057,0
l2-a07,0,1.0,0.5934738273283481,0.6404916353704336,0.18449197860962566,9350,2484,850,207,0,0
l2-a07,1,1.0,0.5950692333671057,0.6383701188455009,0.183852660884463,9339,2496,849,208,0,0
l2-a07,2,1.0,0.5914236706689537,0.6358620689655172,0.18397498112800603,9273,2568,843,214,0,0
l2-a07,3,1.0,0.590585844903488,0.6353421859039836,0.18309709048278802,9383,2448,853,204,0,0
l2-a07,4,1.0,0.588034188034188,0.6345823306978343,0.18662010258648914,9163,2688,833,224,0,0
l2-a07,all_validation_fit,1.0,0.5917256396298313,0.6369357045143639,0.18439838307387976,11627,12684,1057,1057,1057,0
l2-a08,0,1.0,0.6016362492133417,0.6441213653603034,0.19144385026737967,9350,2484,850,207,0,0
l2-a08,1,1.0,0.5959438377535101,0.6361642118458164,0.1930613556055252,9339,2496,849,208,0,0
l2-a08,2,1.0,0.598263107108395,0.6410587475790833,0.18785721988568962,9273,2568,843,214,0,0
l2-a08,3,1.0,0.5931938807368092,0.6375902102290555,0.19098369391452627,9383,2448,853,204,0,0
l2-a08,4,1.0,0.5989271063426949,0.6444866920152091,0.19480519480519481,9163,2688,833,224,0,0
l2-a08,all_validation_fit,1.0,0.5975794251134644,0.6406685236768802,0.191622946589834,11627,12684,1057,1057,1057,0
l2-a09,0,1.0,0.6013859596263935,0.648534300392868,0.19700534759358287,9350,2484,850,207,0,0
l2-a09,1,1.0,0.600896860986547,0.6426858513189448,0.19798693650283755,9339,2496,849,208,0,0
l2-a09,2,1.0,0.603680981595092,0.647800676714857,0.19497465760810956,9273,2568,843,214,0,0
l2-a09,3,1.0,0.5924812030075188,0.6397103198551599,0.19577960140679954,9383,2448,853,204,0,0
l2-a09,4,1.0,0.5989693846620188,0.6480243161094225,0.19993451926225037,9163,2688,833,224,0,0
l2-a09,all_validation_fit,1.0,0.5994682136814117,0.6453333333333333,0.19712737593532295,11627,12684,1057,1057,1057,0
l2-a10,0,1.0,0.6014150943396226,0.6525551859691563,0.19689839572192513,9350,2484,850,207,0,0
l2-a10,1,1.0,0.6004116436342253,0.6462093862815884,0.19734446942927508,9339,2496,849,208,0,0
l2-a10,2,1.0,0.6048192771084338,0.6520666255397902,0.1942197778496711,9273,2568,843,214,0,0
l2-a10,3,1.0,0.59169855755078,0.642512077294686,0.1960993285729511,9383,2448,853,204,0,0
l2-a10,4,1.0,0.6024955436720143,0.6518428266829119,0.19982538469933428,9163,2688,833,224,0,0
l2-a10,all_validation_fit,1.0,0.6001422137947381,0.6490162739859121,0.19686935580975315,11627,12684,1057,1057,1057,0
l2-a11,0,1.0,0.6071428571428571,0.6520259820600062,0.1922994652406417,9350,2484,850,207,0,0
l2-a11,1,1.0,0.6046936909478817,0.6448254745866503,0.1934896669879002,9339,2496,849,208,0,0
l2-a11,2,1.0,0.6071428571428571,0.6500943989930774,0.19044537905747871,9273,2568,843,214,0,0
l2-a11,3,1.0,0.5978428351309707,0.642923505729328,0.19002451241607163,9383,2448,853,204,0,0
l2-a11,4,1.0,0.6039481801357187,0.6509609423434594,0.1962239441231038,9163,2688,833,224,0,0
l2-a11,all_validation_fit,1.0,0.6041461006910168,0.6481527398958592,0.19248301367506665,11627,12684,1057,1057,1057,0
l2-a12,0,1.0,0.5845380263984915,0.6324513866751673,0.1890909090909091,9350,2484,850,207,0,0
l2-a12,1,1.0,0.5889303482587065,0.6292913385826772,0.1907056430024628,9339,2496,849,208,0,0
l2-a12,2,1.0,0.591254752851711,0.6349308459311676,0.18871993960961933,9273,2568,843,214,0,0
l2-a12,3,1.0,0.5803627267041901,0.6275380710659898,0.18810614941916232,9383,2448,853,204,0,0
l2-a12,4,1.0,0.5874213836477987,0.6360446570972886,0.1933864454872858,9163,2688,833,224,0,0
l2-a12,all_validation_fit,1.0,0.5864925935224705,0.6320346320346321,0.18998881912789198,11627,12684,1057,1057,1057,0
