aspect_balanced_review_bootstrap_95_ci_high,aspect_balanced_review_bootstrap_95_ci_low,aspect_call_rate_mean,condition,evidence_role,fold_count,heldout_pair_micro_f1_mean,heldout_pair_precision_mean,heldout_pair_recall_mean,heldout_presence_ap_mean,heldout_presence_f1_mean,method,method_id,oracle_gated_sentiment_set_micro_f1_mean,overall_pair_micro_f1_mean,pooled_heldout_pair_micro_f1_sensitivity,seen_pair_micro_f1_mean
0.5537655072733961,0.4930516870203966,0.17482655313781145,D,fixed_reference_reproduction,12,0.5259309432266017,0.5066365390648688,0.6207574664866153,0.5058700113953779,0.5853555209195364,frozen_qwen_few_shot_stage1__qlora_stage2,frozen_qwen_few_shot_stage1__qlora_stage2,0.885368802206246,0.5840982570501577,0.578500363989323,0.5839195359458925
0.5502378742387452,0.48502411005676277,0.1888337012509198,D,all_validation_fitted_diagnostic,12,0.5198149463084709,0.5301095938996908,0.5708850724106468,0.5041321965929203,0.5841101863443843,e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,0.885368802206246,0.5941949812600046,0.5536082474226804,0.5973437913338814
0.5484364811073668,0.48251417744688907,0.18818984547461368,D,review_cross_fitted_primary,12,0.5175092809593272,0.5291626242027211,0.567097193622768,0.5039108068343833,0.5791694748819336,e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,0.885368802206246,0.5939187075036296,0.553378029912326,0.5970842531273209
,,,D,single_system_formal_validation,12,0.5048826238901596,,,0.5058700113953779,0.5853555209195362,Frozen Qwen few-shot,frozen_qwen_few_shot,0.7656990685616244,0.5462452976198877,,0.5432483512143501
,,,D,single_system_formal_validation,12,0.4799032300930845,,,0.5833540353050181,0.5152419423874747,QLoRA Qwen,qwen_candidate_pair_qlora,0.8853688022062459,0.5867705101163012,,0.5930520079890415
,,,D,single_system_formal_validation,12,0.4512983654182732,,,0.3900382492649161,0.4971014065463579,Frozen Qwen zero-shot,frozen_qwen_candidate_pair,0.8678081932036902,0.499431947284708,,0.4991497795709061
,,,D,single_system_formal_validation,12,0.2772507342595331,,,0.5013343913047422,0.4110284650599756,TF-IDF,strict_train_only_tfidf,0.636809141808479,0.3346295188747736,,0.333619796529544
,,,D,single_system_formal_validation,12,0.2221835185163631,,,0.352325902815316,0.2905521635241919,Frozen E5,e5_base_v2,0.7647102047912276,0.3262669512074477,,0.3270807329045676
,,,D,single_system_formal_validation,12,0.1453139352158224,,,0.2201195921637804,0.2368196942179803,Description-to-weight transfer,description_conditioned_weight_transfer_kernel_ridge,0.636682414469957,0.2152145030231566,,0.219649804866936
,,,D,single_system_formal_validation,12,0.1054270017498131,,,0.2380677009626544,0.1269232095645337,DistilBERT,distilbert_review_candidate_cross_encoder,0.8690231065706847,0.4999478588097103,,0.5227771752501785
0.5445671915032768,0.47768256183358365,0.17148901503206138,N,fixed_reference_reproduction,12,0.5142348188105789,0.5952541375353756,0.530059343415942,0.5816516763748344,0.5617547266165214,frozen_qwen_few_shot_stage1__qlora_stage2,frozen_qwen_few_shot_stage1__qlora_stage2,0.8877592529349547,0.5830009771422787,0.5627945661214305,0.5839195359458925
,,,N,single_system_formal_validation,12,0.5018514986496149,,,0.5816516763748344,0.5617547266165214,Frozen Qwen few-shot,frozen_qwen_few_shot,0.8298639044931395,0.5455584669547169,,0.5432483512143501
0.4828896428389829,0.4147046456194411,0.1851348155156102,N,all_validation_fitted_diagnostic,12,0.45123720430054837,0.568533797245443,0.46655059282884553,0.5046744558176641,0.4866100531126138,e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,0.8877592529349547,0.58977397289425,0.4821967410983706,0.5973437913338814
0.47602615497018247,0.4063905828843353,0.1844712498686009,N,review_cross_fitted_primary,12,0.44349910906245316,0.5688899226015683,0.4551869564652091,0.5017594835845101,0.47517214461588164,e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,e5_retrieval_frozen_qwen_few_shot_stage1__qlora_stage2,0.8877592529349547,0.5894582301542649,0.481112118464793,0.5970842531273209
,,,N,single_system_formal_validation,12,0.441964428393762,,,0.5338931476766898,0.4638774460634393,QLoRA Qwen,qwen_candidate_pair_qlora,0.8877592529349546,0.5842151488793857,,0.5930520079890415
,,,N,single_system_formal_validation,12,0.4358598056142,,,0.4437719685507207,0.4599185457962025,Frozen Qwen zero-shot,frozen_qwen_candidate_pair,0.8609925026811442,0.4981029983088307,,0.4991497795709061
,,,N,single_system_formal_validation,12,0.2414732642962468,,,0.3452832482825207,0.3012098643628547,Frozen E5,e5_base_v2,0.7546227729965432,0.3280722563262148,,0.3270807329045676
,,,N,single_system_formal_validation,12,0.210761787887146,,,0.4148449224559802,0.3377452272128707,TF-IDF,strict_train_only_tfidf,0.6187637682848207,0.3316641154118347,,0.333619796529544
,,,N,single_system_formal_validation,12,0.1443289953765545,,,0.2126791032726534,0.2328491359897634,Description-to-weight transfer,description_conditioned_weight_transfer_kernel_ridge,0.6180198118122651,0.2149316502949426,,0.219649804866936
,,,N,single_system_formal_validation,12,0.1057212966273491,,,0.2098655232732781,0.121697129622921,DistilBERT,distilbert_review_candidate_cross_encoder,0.8760627221711337,0.4969184509672047,,0.5227771752501785
