fold_id,block_id,selected_alpha,selected_threshold,selection_pair_micro_f1,selection_presence_f1,selection_aspect_call_rate,training_aspect_instances,evaluation_aspect_instances,training_review_count,evaluation_review_count,train_evaluation_review_overlap_count,heldout_aspect_selection_instance_count
l2-a01,0,0.1,0.17,0.6244288760280231,0.6644151059256985,0.19711229946524064,9350,2484,850,207,0,0
l2-a01,1,0.1,0.17,0.6296860713197195,0.6697360343769183,0.19605953528215012,9339,2496,849,208,0,0
l2-a01,2,0.1,0.17,0.6235955056179775,0.6649889902485058,0.1934648980912326,9273,2568,843,214,0,0
l2-a01,3,0.1,0.17,0.6201219512195122,0.6654366543665436,0.19450069274219334,9383,2448,853,204,0,0
l2-a01,4,0.1,0.19,0.6235884567126725,0.661606578115117,0.19153115791771255,9163,2688,833,224,0,0
l2-a01,all_validation_fit,0.1,0.17,0.6242632612966601,0.6653465346534654,0.19566526189042746,11627,12684,1057,1057,1057,0
l2-a02,0,0.1,0.18,0.6380597014925373,0.6791510611735331,0.19133689839572193,9350,2484,850,207,0,0
l2-a02,1,0.1,0.18,0.6413449564134496,0.6831095847642835,0.1904914873112753,9339,2496,849,208,0,0
l2-a02,2,0.1,0.18,0.6401527203308941,0.6807151979565773,0.18818073978216326,9273,2568,843,214,0,0
l2-a02,3,0.1,0.18,0.634375,0.6815186695952307,0.18874560375146543,9383,2448,853,204,0,0
l2-a02,4,0.1,0.18,0.6363349131121643,0.6785034876347495,0.1916402924806286,9163,2688,833,224,0,0
l2-a02,all_validation_fit,0.1,0.18,0.6380522088353414,0.6806045340050377,0.19007482583641525,11627,12684,1057,1057,1057,0
l2-a03,0,0.7,0.45,0.642795513373598,0.682842287694974,0.12310160427807487,9350,2484,850,207,0,0
l2-a03,1,0.1,0.34,0.6420361247947455,0.6790276060980635,0.1347039297569333,9339,2496,849,208,0,0
l2-a03,2,0.6,0.47,0.6453932584269663,0.6796028880866426,0.11657500269599913,9273,2568,843,214,0,0
l2-a03,3,0.8,0.46,0.640373197625106,0.6842778014486579,0.12607907918576147,9383,2448,853,204,0,0
l2-a03,4,0.8,0.45,0.6416702172986791,0.6852010265183918,0.12910618792971734,9163,2688,833,224,0,0
l2-a03,all_validation_fit,0.8,0.45,0.6413301662707839,0.682793867120954,0.12814999569966457,11627,12684,1057,1057,1057,0
l2-a04,0,0.1,0.25,0.6121804985799937,0.6587479935794542,0.17679144385026738,9350,2484,850,207,0,0
l2-a04,1,0.1,0.25,0.6157697121401752,0.6630676405208002,0.17871292429596317,9339,2496,849,208,0,0
l2-a04,2,0.1,0.3,0.6142620232172471,0.6563446650959273,0.16575002695999136,9273,2568,843,214,0,0
l2-a04,3,0.1,0.25,0.6100946372239747,0.6600384862091084,0.17553021421720133,9383,2448,853,204,0,0
l2-a04,4,0.1,0.25,0.6105060858424087,0.6566872762772535,0.17723453017570664,9163,2688,833,224,0,0
l2-a04,all_validation_fit,0.1,0.25,0.6123381568926123,0.6592726334794945,0.17657177259826268,11627,12684,1057,1057,1057,0
l2-a05,0,0.1,0.34,0.6130828114126653,0.651536312849162,0.1586096256684492,9350,2484,850,207,0,0
l2-a05,1,0.1,0.25,0.6136139427819796,0.6556728232189973,0.17410857693543205,9339,2496,849,208,0,0
l2-a05,2,0.1,0.34,0.6112090236164963,0.6499292786421499,0.1582012293756066,9273,2568,843,214,0,0
l2-a05,3,0.1,0.34,0.6083650190114068,0.6530187369882027,0.15815837152296708,9383,2448,853,204,0,0
l2-a05,4,0.1,0.24,0.608957219251337,0.6503519946362722,0.17647058823529413,9163,2688,833,224,0,0
l2-a05,all_validation_fit,0.1,0.34,0.6101978266926721,0.6508247134470226,0.15902640405951665,11627,12684,1057,1057,1057,0
l2-a06,0,0.0,0.51,0.5874246339362619,0.6088831392841743,0.1300534759358289,9350,2484,850,207,0,0
l2-a06,1,0.1,0.1,0.5978055240257283,0.6224914804998106,0.16243709176571366,9339,2496,849,208,0,0
l2-a06,2,0.1,0.1,0.5871271585557299,0.6142969363707776,0.15852474927208024,9273,2568,843,214,0,0
l2-a06,3,0.1,0.1,0.5821524320183837,0.6134969325153374,0.15997015879782586,9383,2448,853,204,0,0
l2-a06,4,0.1,0.1,0.5905936777178104,0.6172839506172839,0.16261049874495254,9163,2688,833,224,0,0
