aspect_balanced_review_bootstrap_95_ci_high,aspect_balanced_review_bootstrap_95_ci_low,aspect_call_rate_mean,condition,evidence_role,fold_count,heldout_pair_micro_f1_mean,heldout_pair_precision_mean,heldout_pair_recall_mean,heldout_presence_ap_mean,heldout_presence_f1_mean,method,method_id,oracle_gated_sentiment_set_micro_f1_mean,overall_pair_micro_f1_mean,pooled_heldout_pair_micro_f1_sensitivity,seen_pair_micro_f1_mean
0.5537655072733961,0.4930516870203966,0.17482655313781145,D,fixed_reference_reproduction,12,0.5259309432266017,0.5066365390648688,0.6207574664866153,0.5058700113953779,0.5853555209195364,frozen_qwen_few_shot_stage1__qlora_stage2,frozen_qwen_few_shot_stage1__qlora_stage2,0.885368802206246,0.5840982570501577,0.578500363989323,0.5839195359458925
0.5428989824596159,0.48652021824365066,0.1716007042993798,D,all_validation_fitted_diagnostic,12,0.516569065761294,0.4847988606170344,0.6336271291231446,0.6424684949310535,0.5609283380100957,smooth_fewshot_qlora_stage1_fusion__qlora_stage2,smooth_fewshot_qlora_stage1_fusion__qlora_stage2,0.885368802206246,0.6120352304553278,0.5535714285714286,0.617352098744392
0.5400824678626385,0.483760719254849,0.1710488279196888,D,review_cross_fitted_primary,12,0.5137112884287077,0.48415521679753853,0.6282647174085912,0.6325202099354464,0.5582049466017774,smooth_fewshot_qlora_stage1_fusion__qlora_stage2,smooth_fewshot_qlora_stage1_fusion__qlora_stage2,0.885368802206246,0.6078507054310177,0.5450777202072539,0.6134422414140542
,,,D,single_system_formal_validation,12,0.5048826238901596,,,0.5058700113953779,0.5853555209195362,Frozen Qwen few-shot,frozen_qwen_few_shot,0.7656990685616244,0.5462452976198877,,0.5432483512143501
,,,D,single_system_formal_validation,12,0.4799032300930845,,,0.5833540353050181,0.5152419423874747,QLoRA Qwen,qwen_candidate_pair_qlora,0.8853688022062459,0.5867705101163012,,0.5930520079890415
,,,D,single_system_formal_validation,12,0.4512983654182732,,,0.3900382492649161,0.4971014065463579,Frozen Qwen zero-shot,frozen_qwen_candidate_pair,0.8678081932036902,0.499431947284708,,0.4991497795709061
,,,D,single_system_formal_validation,12,0.2772507342595331,,,0.5013343913047422,0.4110284650599756,TF-IDF,strict_train_only_tfidf,0.636809141808479,0.3346295188747736,,0.333619796529544
,,,D,single_system_formal_validation,12,0.2221835185163631,,,0.352325902815316,0.2905521635241919,Frozen E5,e5_base_v2,0.7647102047912276,0.3262669512074477,,0.3270807329045676
,,,D,single_system_formal_validation,12,0.1453139352158224,,,0.2201195921637804,0.2368196942179803,Description-to-weight transfer,description_conditioned_weight_transfer_kernel_ridge,0.636682414469957,0.2152145030231566,,0.219649804866936
,,,D,single_system_formal_validation,12,0.1054270017498131,,,0.2380677009626544,0.1269232095645337,DistilBERT,distilbert_review_candidate_cross_encoder,0.8690231065706847,0.4999478588097103,,0.5227771752501785
0.5445671915032768,0.47768256183358365,0.17148901503206138,N,fixed_reference_reproduction,12,0.5142348188105789,0.5952541375353756,0.530059343415942,0.5816516763748344,0.5617547266165214,frozen_qwen_few_shot_stage1__qlora_stage2,frozen_qwen_few_shot_stage1__qlora_stage2,0.8877592529349547,0.5830009771422787,0.5627945661214305,0.5839195359458925
,,,N,single_system_formal_validation,12,0.5018514986496149,,,0.5816516763748344,0.5617547266165214,Frozen Qwen few-shot,frozen_qwen_few_shot,0.8298639044931395,0.5455584669547169,,0.5432483512143501
0.5157912385199336,0.451710649978147,0.1666600967097656,N,all_validation_fitted_diagnostic,12,0.486972474489294,0.597759696827481,0.4920654520265028,0.6362616493320036,0.5181524202772888,smooth_fewshot_qlora_stage1_fusion__qlora_stage2,smooth_fewshot_qlora_stage1_fusion__qlora_stage2,0.8877592529349547,0.6091761438660935,0.5004745333755141,0.617352098744392
0.5090499321244434,0.44628654476226187,0.16620676968359085,N,review_cross_fitted_primary,12,0.4806014765619811,0.5989543977774096,0.4829757109364763,0.6278714590088496,0.5108264995378565,smooth_fewshot_qlora_stage1_fusion__qlora_stage2,smooth_fewshot_qlora_stage1_fusion__qlora_stage2,0.8877592529349547,0.6046896586874106,0.4871630295250321,0.6134422414140542
,,,N,single_system_formal_validation,12,0.441964428393762,,,0.5338931476766898,0.4638774460634393,QLoRA Qwen,qwen_candidate_pair_qlora,0.8877592529349546,0.5842151488793857,,0.5930520079890415
,,,N,single_system_formal_validation,12,0.4358598056142,,,0.4437719685507207,0.4599185457962025,Frozen Qwen zero-shot,frozen_qwen_candidate_pair,0.8609925026811442,0.4981029983088307,,0.4991497795709061
,,,N,single_system_formal_validation,12,0.2414732642962468,,,0.3452832482825207,0.3012098643628547,Frozen E5,e5_base_v2,0.7546227729965432,0.3280722563262148,,0.3270807329045676
,,,N,single_system_formal_validation,12,0.210761787887146,,,0.4148449224559802,0.3377452272128707,TF-IDF,strict_train_only_tfidf,0.6187637682848207,0.3316641154118347,,0.333619796529544
,,,N,single_system_formal_validation,12,0.1443289953765545,,,0.2126791032726534,0.2328491359897634,Description-to-weight transfer,description_conditioned_weight_transfer_kernel_ridge,0.6180198118122651,0.2149316502949426,,0.219649804866936
,,,N,single_system_formal_validation,12,0.1057212966273491,,,0.2098655232732781,0.121697129622921,DistilBERT,distilbert_review_candidate_cross_encoder,0.8760627221711337,0.4969184509672047,,0.5227771752501785
