condition,left_bootstrap_method_id,right_bootstrap_method_id,left_minus_right_aspect_balanced_heldout_pair_micro_f1,shared_review_bootstrap_95_ci_low,shared_review_bootstrap_95_ci_high,bootstrap_draws,bootstrap_seed
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,strict_train_only_tfidf,0.2486802089670686,0.2146070072587784,0.28055893218052386,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,e5_base_v2,0.30374742471023863,0.27128466926910355,0.33315685389786287,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,description_conditioned_weight_transfer_kernel_ridge,0.38061700801077936,0.3475258051806718,0.40961193949821484,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,distilbert_review_candidate_cross_encoder,0.42050394147678855,0.38458356843072866,0.454359288578406,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,frozen_qwen_candidate_pair,0.07463257780832838,0.04799038405940496,0.10027995858388504,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,frozen_qwen_few_shot,0.021048319336442134,0.0007745024408152671,0.04265633338746592,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,qwen_candidate_pair_qlora,0.04602771313351717,0.021611342430931577,0.06975257081336628,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,0.0093618774653077,-0.010884099162655448,0.029443952116661218,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,0.012219654797893997,-0.00803321568938672,0.032406681403840086,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,strict_train_only_tfidf,0.2393183315017609,0.2070157764146792,0.2698945450301988,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,e5_base_v2,0.29438554724493093,0.26558583061381136,0.32130599808664434,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,description_conditioned_weight_transfer_kernel_ridge,0.37125513054547166,0.34102974195546126,0.39828628674607086,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,distilbert_review_candidate_cross_encoder,0.41114206401148085,0.3762579483922463,0.44434900326165383,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,frozen_qwen_candidate_pair,0.06527070034302068,0.04623608447364797,0.08482543101092206,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,frozen_qwen_few_shot,0.011686441871134434,-0.014333965364854737,0.03783524039326886,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,qwen_candidate_pair_qlora,0.03666583566820947,0.021256124573921713,0.05224417936564844,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,-0.0093618774653077,-0.029443952116661246,0.010884099162655434,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,0.0028577773325862976,-0.002681247906841674,0.007851524746631519,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,strict_train_only_tfidf,0.2364605541691746,0.20397579336526706,0.2671535618529624,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,e5_base_v2,0.29152776991234464,0.26253411962500517,0.31834098372808434,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,description_conditioned_weight_transfer_kernel_ridge,0.36839735321288536,0.33799743557401746,0.39567436360347996,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,distilbert_review_candidate_cross_encoder,0.40828428667889455,0.3739918256626131,0.4412211840966602,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,frozen_qwen_candidate_pair,0.062412923010434385,0.04299561169268094,0.08249444009775793,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,frozen_qwen_few_shot,0.008828664538548137,-0.017406172342089347,0.035193935430351576,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,qwen_candidate_pair_qlora,0.03380805833562317,0.017664284700809215,0.05020654592880811,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_reference_reproduction,-0.012219654797893997,-0.03240668140384011,0.008033215689386692,20000,13
D,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__review_cross_fitted_primary,smooth_fewshot_qlora_stage1_fusion__qlora_stage2__all_validation_fitted_diagnostic,-0.0028577773325862976,-0.007851524746631523,0.002681247906841659,20000,13
