method_id,evidence_role,fold_id,condition,score_sha256,heldout_pair_micro_f1,overall_pair_micro_f1,seen_pair_micro_f1,heldout_pair_precision,heldout_pair_recall,heldout_presence_f1,heldout_presence_ap,oracle_gated_sentiment_set_micro_f1,maximum_sentiments_per_selected_aspect,aspect_call_rate,selected_aspect_instances,test_contract_count
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a01,D,6a4eca86515a601cae6b4d7fb7606e02f13dc28058bb5df47fb5e0d4ad310648,0.6210526315789474,0.6110828673106253,0.6105769230769231,0.5412844036697247,0.7283950617283951,0.6702127659574468,0.5273322971024234,0.926829268292683,2,0.16169977924944812,2051,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a01,D,f16bc26c63c06af5a0675bde01eb049192e4ee868c3ecc01185406edfa0ed60b,0.649746192893401,0.5726347156692326,0.568668407310705,0.5517241379310345,0.7901234567901234,0.7106598984771574,0.8090256673104987,0.9012345679012346,1,0.17100283822138126,2169,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a01,N,e00816f2035d112914888a6fb1da06aa9e3ad3fca3e1ba4f7ef452a7f21a378d,0.5654450261780105,0.6083862770012707,0.6105769230769231,0.4909090909090909,0.6666666666666666,0.5925925925925926,0.4563880216890792,0.9629629629629629,2,0.16177861873226113,2052,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a01,N,dd62d4bc60007a97fe38459c2a230e88d5666465786caedcf4b5d997c100bd8f,0.585635359116022,0.5694340563450511,0.568668407310705,0.53,0.654320987654321,0.6077348066298343,0.6479513252215001,0.9382716049382716,1,0.16974140649637337,2153,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a01,D,8e29113f1a1a67f077fba223cab895ac11789680605e66dff773c18e2606b456,0.6534653465346535,0.6008151522416687,0.5981355505165029,0.5454545454545454,0.8148148148148148,0.71,0.8075490770448489,0.926829268292683,2,0.18109429202144434,2297,0
qwen_candidate_pair_qlora_relative_calibrator_v1,review_cross_fitted_primary,l2-a01,N,f8b8ae1328edfccbe8c831a18bd740e555c560905a57a9991d771aaabbec9a15,0.6170212765957447,0.5979331891372266,0.5970299521771961,0.5420560747663551,0.7160493827160493,0.6417112299465241,0.6508619764977904,0.9629629629629629,2,0.1803847366761274,2288,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a01,D,6652d2fef561bbc4afe5629e7f8ab56bf9c9a0e676a31ceffbd7dedcdb1e9b86,0.6534653465346535,0.6038543897216274,0.601349662584354,0.5454545454545454,0.8148148148148148,0.71,0.8093276197680026,0.926829268292683,2,0.1836171554714601,2329,0
qwen_candidate_pair_qlora_relative_calibrator_v1,all_validation_fitted_diagnostic,l2-a01,N,75dccb04e1bbad658a933985027605bf33e25d222654f75c0e88239583c8fdf2,0.6210526315789474,0.6020529959417522,0.6011502875718929,0.5412844036697247,0.7283950617283951,0.656084656084656,0.6496554581915248,0.9629629629629629,2,0.1825922421948912,2316,0
frozen_qwen_few_shot_stage1__qlora_stage2,fixed_primary_stage_hybrid,l2-a02,D,c44ab2560c1ced4eedb4b9eebb484829a635f7f38acc98457b7d1ad0c5ee146b,0.3333333333333333,0.6061845131612573,0.6225955025738282,0.27205882352941174,0.43023255813953487,0.41818181818181815,0.2777638687164848,0.8670520231213873,2,0.16169977924944812,2051,0
qlora_stage1__frozen_qwen_few_shot_stage2,fixed_reverse_control,l2-a02,D,8f5dc4e3380af3cdaadcb1af90aaea630b80f6c9a2dffa571cee4ca76d76f585,0.2988505747126437,0.5568685376661743,0.5684156378600823,0.29545454545454547,0.3023255813953488,0.4260355029585799,0.3404745324951477,0.375,2,0.1717123935666982,2178,0
