aspect_balanced_review_bootstrap_95_ci_high,aspect_balanced_review_bootstrap_95_ci_low,aspect_call_rate_mean,condition,evidence_role,fold_count,heldout_pair_micro_f1_mean,heldout_pair_precision_mean,heldout_pair_recall_mean,heldout_presence_ap_mean,heldout_presence_f1_mean,method,method_id,oracle_gated_sentiment_set_micro_f1_mean,overall_pair_micro_f1_mean,pooled_heldout_pair_micro_f1_sensitivity,seen_pair_micro_f1_mean
0.5537655072733961,0.4930516870203966,0.17482655313781145,D,fixed_primary_stage_hybrid,12,0.5259309432266017,0.5066365390648688,0.6207574664866153,0.5058700113953779,0.5853555209195364,frozen_qwen_few_shot_stage1__qlora_stage2,frozen_qwen_few_shot_stage1__qlora_stage2,0.885368802206246,0.5840982570501577,0.578500363989323,0.5839195359458925
,,,D,single_system_formal_validation,12,0.5048826238901596,,,0.5058700113953779,0.5853555209195362,Frozen Qwen few-shot,frozen_qwen_few_shot,0.7656990685616244,0.5462452976198877,,0.5432483512143501
0.5086478865267865,0.454942448027449,0.16702801429622624,D,all_validation_fitted_diagnostic,12,0.48357737532648604,0.4616321799385983,0.6046042488542568,0.5901100260936526,0.5215972646031207,qwen_candidate_pair_qlora_relative_calibrator_v1,qwen_candidate_pair_qlora_relative_calibrator_v1,0.885368802206246,0.5937619222633379,0.5181430096051227,0.6005638175083098
0.50761319655215,0.4541186741117626,0.16785582886576267,D,review_cross_fitted_primary,12,0.4823843718195771,0.4593861746526824,0.605643317848438,0.5910037417833577,0.5210531676218395,qwen_candidate_pair_qlora_relative_calibrator_v1,qwen_candidate_pair_qlora_relative_calibrator_v1,0.885368802206246,0.5910508971512324,0.5166754896770778,0.5977249933919516
,,,D,single_system_formal_validation,12,0.4799032300930845,,,0.5833540353050181,0.5152419423874747,QLoRA Qwen,qwen_candidate_pair_qlora,0.8853688022062459,0.5867705101163012,,0.5930520079890415
0.48150140585443546,0.43087464576119516,0.1710488279196888,D,fixed_reverse_control,12,0.4568881223689463,0.42364426877607203,0.5983824568666474,0.5833540353050181,0.5152419423874747,qlora_stage1__frozen_qwen_few_shot_stage2,qlora_stage1__frozen_qwen_few_shot_stage2,0.7656990685616244,0.5460572124204236,0.5006438320885913,0.549750485040022
,,,D,single_system_formal_validation,12,0.4512983654182732,,,0.3900382492649161,0.4971014065463579,Frozen Qwen zero-shot,frozen_qwen_candidate_pair,0.8678081932036902,0.499431947284708,,0.4991497795709061
,,,D,single_system_formal_validation,12,0.2772507342595331,,,0.5013343913047422,0.4110284650599756,TF-IDF,strict_train_only_tfidf,0.636809141808479,0.3346295188747736,,0.333619796529544
,,,D,single_system_formal_validation,12,0.2221835185163631,,,0.352325902815316,0.2905521635241919,Frozen E5,e5_base_v2,0.7647102047912276,0.3262669512074477,,0.3270807329045676
,,,D,single_system_formal_validation,12,0.1453139352158224,,,0.2201195921637804,0.2368196942179803,Description-to-weight transfer,description_conditioned_weight_transfer_kernel_ridge,0.636682414469957,0.2152145030231566,,0.219649804866936
,,,D,single_system_formal_validation,12,0.1054270017498131,,,0.2380677009626544,0.1269232095645337,DistilBERT,distilbert_review_candidate_cross_encoder,0.8690231065706847,0.4999478588097103,,0.5227771752501785
0.5445671915032768,0.47768256183358365,0.17148901503206138,N,fixed_primary_stage_hybrid,12,0.5142348188105789,0.5952541375353756,0.530059343415942,0.5816516763748344,0.5617547266165214,frozen_qwen_few_shot_stage1__qlora_stage2,frozen_qwen_few_shot_stage1__qlora_stage2,0.8877592529349547,0.5830009771422787,0.5627945661214305,0.5839195359458925
,,,N,single_system_formal_validation,12,0.5018514986496149,,,0.5816516763748344,0.5617547266165214,Frozen Qwen few-shot,frozen_qwen_few_shot,0.8298639044931395,0.5455584669547169,,0.5432483512143501
0.4808119122448794,0.4170547774379901,0.16397955429412384,N,review_cross_fitted_primary,12,0.4517542335906177,0.5586295535110811,0.4648712074766894,0.5414397095631093,0.46976790432097343,qwen_candidate_pair_qlora_relative_calibrator_v1,qwen_candidate_pair_qlora_relative_calibrator_v1,0.8877592529349547,0.5887570073090341,0.46261682242990654,0.5979469914799262
0.4779489524369183,0.41477156488069505,0.1631911594659939,N,all_validation_fitted_diagnostic,12,0.4491402589946654,0.5617112581959295,0.4594936159929457,0.5406208208190734,0.4676383356766182,qwen_candidate_pair_qlora_relative_calibrator_v1,qwen_candidate_pair_qlora_relative_calibrator_v1,0.8877592529349547,0.5907417085117087,0.4585858585858586,0.600382974190864
