condition,left_bootstrap_method_id,right_bootstrap_method_id,left_minus_right_aspect_balanced_heldout_pair_micro_f1,shared_review_bootstrap_95_ci_low,shared_review_bootstrap_95_ci_high,bootstrap_draws,bootstrap_seed
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,strict_train_only_tfidf,0.2486802089670686,0.2146070072587784,0.28055893218052386,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,e5_base_v2,0.30374742471023863,0.27128466926910355,0.33315685389786287,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,description_conditioned_weight_transfer_kernel_ridge,0.38061700801077936,0.3475258051806718,0.40961193949821484,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,distilbert_review_candidate_cross_encoder,0.42050394147678855,0.38458356843072866,0.454359288578406,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,frozen_qwen_candidate_pair,0.07463257780832838,0.04799038405940496,0.10027995858388504,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,frozen_qwen_few_shot,0.021048319336442134,0.0007745024408152671,0.04265633338746592,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,qwen_candidate_pair_qlora,0.04602771313351717,0.021611342430931577,0.06975257081336628,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,qlora_stage1__frozen_qwen_few_shot_stage2__fixed_reverse_control,0.0690428208576554,0.04322855385339047,0.09412418734788881,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,qwen_candidate_pair_qlora_relative_calibrator_v1__all_validation_fitted_diagnostic,0.042353567900115685,0.01715577067859125,0.06665984541196428,20000,13
D,frozen_qwen_few_shot_stage1__qlora_stage2__fixed_primary_stage_hybrid,qwen_candidate_pair_qlora_relative_calibrator_v1__review_cross_fitted_primary,0.043546571407024615,0.018580480806287058,0.06785353475396276,20000,13
